year_month,total_cost,note
2024-07,0.09,Experimenting
2024-08,0.31
2024-09,0.30
2024-10,0.30
2024-11,6.56,Initial release
2024-12,13.16
2025-01,2.44
2025-02,4.20
2025-03,5.32
2025-04,13.48,Increased development
2025-05,11.17
2025-06,5.94
2025-07,2.08
2025-08,1.97
2025-09,0,Independant project billing
2025-10,5.04,Enabled Google Container Registry Vulnerability scanning
2025-11,1.15,Added automatic artifact registry cleaning
2025-12,0.77
2026-01,0.38
2026-02,6.35
2026-03,3.80
2026-04,3.62
2026-05,3.82
2026-06,5.34
